Tipo;Sexo;Opinião;Modelo;Outra;Razão;Renda;Anos;Gasto;Minutos
Pós-pago;Feminino;Terrível;Motorola;Nenhuma;Tarifa menor;7,32;8;94,4;105
Pré-pago;Feminino;Mediana;Gradiente;Escuridão;Maior cobertura;3,546;4;47,6;56
Pré-pago;Feminino;Sofrível;Ericsson;Cumbuca;Maior cobertura;1,794;3;44,4;64
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;10,614;7;79,6;90
Pós-pago;Feminino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;6,054;3;36,4;74
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Maior cobertura;1,929;9;96,8;74
Pré-pago;Feminino;Confiável;Samsung;Nenhuma;Maior cobertura;2,22;6;73,6;69
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;2,718;9;98,8;68
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;5,049;6;71,2;84
Pós-pago;Masculino;Terrível;Motorola;Mortinho;Tarifa menor;2,997;5;57;86
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;9,252;8;90,2;89
Pré-pago;Masculino;Excelente;Motorola;Cumbuca;Maior cobertura;1,587;5;62,4;58
Pós-pago;Feminino;Terrível;Motorola;Nenhuma;Qualidade do sinal;4,548;4;53,2;83
Pré-pago;Masculino;Sofrível;Motorola;Mortinho;Qualidade do sinal;2,298;3;41;81
Pré-pago;Masculino;Mediana;Gradiente;Ferrocom;Qualidade do sinal;6,438;5;60,4;93
Pré-pago;Masculino;Confiável;Motorola;Cumbuca;Qualidade do sinal;5,739;5;61,8;70
Pré-pago;Masculino;Confiável;Motorola;Cumbuca;Maior cobertura;1,9;1;30,52;64
Pós-pago;Masculino;Terrível;Siemens;Mortinho;Qualidade do sinal;5,385;3;37;75
Pós-pago;Masculino;Sofrível;Siemens;Escuridão;Tarifa menor;13,173;10;105,6;90
Pré-pago;Masculino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,017;4;46;50
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,71;1;30,52;52
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1,318;4;51;69
Pós-pago;Masculino;Terrível;Motorola;Ferrocom;Qualidade do sinal;10,695;2;34,6;69
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;1,636;7;80,8;63
Pré-pago;Masculino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;5,385;5;55;73
Pré-pago;Feminino;Mediana;Gradiente;Escuridão;Maior cobertura;2,997;6;70,4;66
Pós-pago;Feminino;Confiável;Samsung;Ferrocom;Maior cobertura;2,271;4;46,6;67
Pré-pago;Feminino;Confiável;Samsung;Escuridão;Maior cobertura;1,393;8;87,4;48
Pós-pago;Feminino;Terrível;Gradiente;Escu ;Qual ;4,68;6;65;68
Pré-pago;Feminino;Excelente;Motorola;Ferrocom;Maior cobertura;5,895;6;74;61
Pré-pago;Masculino;Excelente;Gradiente;Escuridão;Maior cobertura;3,03;4;48,8;52
Pré-pago;Feminino;Excelente;Gradiente;Cumbuca;Maior cobertura;2,046;4;45,2;60
Pós-pago;Masculino;Terrível;Siemens;Mortinho;Tarifa menor;17,835;4;46;98
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;3,162;1;30,52;55
Pré-pago;Masculino;Excelente;Motorola;Ferrocom;Maior cobertura;4,374;3;44,8;86
Pós-pago;Masculino;Mediana;Siemens;Nenhuma;Qualidade do sinal;3,696;7;82,6;72
Pré-pago;Feminino;Terrível;Gradiente;Nenhuma;Maior cobertura;2,871;8;87;71
Pré-pago;Feminino;Confiável;Gradiente;Nenhuma;Maior cobertura;1,084;2;30,52;59
Pré-pago;Masculino;Sofrível;Motorola;Cumbuca;Maior cobertura;5,436;4;49,4;76
Pré-pago;Masculino;Sofrível;Ericsson;Escuridão;Maior cobertura;3,732;5;56,2;73
Pós-pago;Masculino;Terrível;Si ;Nenhuma;Tarifa menor;14,592;9;95,6;105
Pré-pago;Masculino;Sofrível;Samsung;Ferrocom;Maior cobertura;2,544;2;30,52;63
Pós-pago;Feminino;Terrível;Motorola;Ferrocom;Maior cobertura;4,908;6;66,4;80
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,86;3;39;77
Pré-pago;Feminino;Mediana;Siemens;Cumbuca;Maior cobertura;1,347;5;60,6;56
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Qualidade do sinal;5,535;8;87,8;81
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;17,283;9;95,8;105
Pós-pago;Masculino;Terrível;Gradiente;Nenhuma;Tarifa menor;13,542;9;99;107
Pré-pago;Masculino;Mediana;Gradiente;Nenhuma;Maior cobertura;3,696;4;45,4;88
Pós-pago;Feminino;Mediana;Gradiente;Ferrocom;Maior cobertura;1,074;9;100,8;73
Pré-pago;Masculino;Mediana;Motoro ;Ferrocom;Maior cobertura;1,618;6;73,8;49
Pós-pago;Masculino;Sofrível;Samsung;Ferrocom;Maior cobertura;4,419;5;55,6;77
Pré-pago;Masculino;Mediana;Gradiente;Ferrocom;Maior cobertura;6,609;6;67;58
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,351;8;86,8;52
Pós-pago;Masculino;Mediana;Samsung;Nenhuma;Tarifa menor;8,55;4;49,6;178
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;9,618;5;60,8;70
Pós ;Masculino;Mediana;Samsung;Nenhuma;Qualidade do sinal;8,757;7;78;73
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Qualidade do sinal;3,81;10;106,8;438
Pós-pago;Masculino;Terrível;Samsung;Cumbuca;Tarifa menor;11,097;7;81;92
Pré-pago;Masculino;Terrível;Samsung;Nenhuma;Qualidade do sinal;7,569;4;46,4;93
Pós-pago;Feminino;Sofrível;Siemens;Nenhuma;Tarifa menor;10,614;7;80,6;87
Pós-pago;Masculino;Sofrível;Samsung;Mortinho;Qualidade do sinal;17,394;4;47,4;77
Pré-pago;Feminino;Excelente;Samsung;Cumbuca;Maior cobertura;2,271;6;67,2;74
Pré-pago;Masculino;Excelente;Motorola;Nenhuma;Maior cobertura;2,871;5;58,4;63
Pós-pago;Masculino;Excelente;Siemens;Cumbuca;Maior cobertura;4,419;3;43;65
Pré-pago;Feminino;Confiável;Samsung;Nenhuma;Maior cobertura;1,311;9;98,4;72
Pós-pago;Feminino;Mediana;Siemens;Nenhuma;Qualidade do sinal;4,044;1;30,52;80
Pré-pago;Feminino;Terrível;Gradiente;Nenhuma;Qualidade do sinal;6,84;5;63,2;102
Pré-pago;Masculino;Mediana;Samsung;Mortinho;Maior cobertura;5,238;3;43,2;72
Pré-pago;Masculino;Mediana;Siemens;Nenhuma;Maior cobertura;15,186;3;43,4;79
Pré-pago;Masculino;Mediana;Gradiente;Mortinho;Tarifa menor;2,046;8;93,6;79
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,135;3;41,6;43
Pós-pago;Masculino;Mediana;Ericsson;Escuridão;Maior cobertura;4,248;2;30,52;74
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,978;6;67,4;58
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1,074;8;93,8;58
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;8,826;5;63,8;93
Pré-pago;Feminino;Terrível;Gradiente;Nenhuma;Tarifa menor;8,148;8;93,6;71
Pós-pago;Masculino;Terrível;Samsung;Ferrocom;Qualidade do sinal;11,343;5;58,8;86
Pré-pago;Masculino;Mediana;Gradiente;Escuridão;Qualidade do sinal;5,286;6;66,8;68
Pós-pago;Masculino;Terrível;Samsung;Cumbuca;Tarifa menor;21,138;3;37;112
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,189;3;37,6;36
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;9,546;6;66,4;100
Pré-pago;Feminino;Confiável;Samsung;Ferrocom;Maior cobertura;2,046;1;30,52;59
Pré-pago;Masculino;Terrível;Motorola;Ferrocom;Qualidade do sinal;5,286;8;94;82
Pré-pago;Masculino;Mediana;Siemens;Nenhuma;Qualidade do sinal;9,18;7;81,2;68
Pré-pago;Feminino;Sofrível;Samsung;Ferrocom;Maior cobertura;4,374;4;53,6;90
Pré-pago;Masculino;Mediana;Gradiente;Mortinho;Maior cobertura;1,689;4;48,6;64
Pré-pago;Masculino;Terrível;Siemens;Ferrocom;Tarifa menor;6,003;8;94,8;83
Pré-pago;Masculino;Mediana;Motorola;Nenhuma;Maior cobertura;11,427;5;55,4;85
Pré-pago;Masculino;Mediana;Ericsson;Nenhuma;Qualidade do sinal;4,419;3;42;84
Pós-pago;Feminino;Terrível;Motorola;Escuridão;Maior cobertura;3,063;2;31,6;73
Pré-pago;Masculino;Sofrível;Gradiente;Ferrocom;Maior cobertura;3,927;5;57,6;71
Pós-pago;Masculino;Sofrível;Motorola;Cumbuca;Maior cobertura;5,949;4;54;92
Pós-pago;Feminino;Terrível;Gradiente;Nenhuma;Maior cobertura;4,908;5;59,2;88
Pré-pago; ;Confiável;Ericsson;Nenhuma;Maior cobertura;1,9;4;53;48
Pré-pago;Masculino;Sofrível;Samsung;Ferrocom;Qualidade do sinal;4,167;6;72,2;81
Pós-pago;Masculino;Sofrível;Motorola;Nenhuma;Tarifa menor;13,356;4;50;77
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,498;4;47,2;54
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;3,3;8;85;69
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;24,939;7;79,2;100
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,752;1;30,52;62
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;1,837;1;30,52;64
Pré-pago;Masculino;Sofrível;Motorola;Ferrocom;Maior cobertura;1,591;5;55,4;49
Pós-pago;Feminino;Sofrível;Motorola;Mortinho;Qualidade do sinal;2,406;6;73,2;91
Pré-pago;Masculino;Confiável;Ericsson;Escuridão;Maior cobertura;1,089;6;70;36
Pré-pago;Feminino;Excelente;Gradiente;Escuridão;Maior cobertura;1,267;3;36,4;51
Pr ;Masculino;Excelente;Samsung;Cumbuca;Maior cobertura;3,657;5;57,8;69
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;2,967;1;30,52;59
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;19,089;8;91,2;95
Pré-pago;Feminino;Excelente;Gradiente;Mortinho;Maior cobertura;1,26;3;36;59
Pós-pago;Masculino;Terrível;Motorola;Ferrocom;Qualidade do sinal;7,443;9;98,4;72
Pré-pago;Feminino;Te ;Samsung;Nenhuma;Qualidade do sinal;5,739;4;46;91
Pós-pago;Masculino;Mediana;Samsung;Escuridão;Tarifa menor;4,953;9;100,4;79
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,426;1;30,52;65
Pós-pago;Feminino;Excelente;Samsung;Escuridão;Maior cobertura;1,951;7;80,6;60
Pré-pago;Feminino;Terrível;Samsung;Escuridão;Maior cobertura;1,434;2;32,6;66
Pré-pago;Feminino;Sofrível;Gradiente;Nenhuma;Maior cobertura;2,406;5;56,4;84
Pós-pago;Feminino;Terrível;Siemens;Nenhuma;Tarifa menor;21,513;7;83,8;99
Pré-pago;Feminino;Mediana;Motorola;Mortinho;Maior cobertura;2,379;1;30,52;55
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;1,668;6;68,6;73
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;2,841;4;48,8;65
Pré-pago;Masculino;Excelente;Ericsson;Ferrocom;Maior cobertura;2,997;5;56,8;68
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1,153;4;50,4;47
Pré-pago;Masculino;Confiável;Gradiente;Cumbuca;Maior cobertura;2,247;6;71,6;53
Pré-pago;Feminino;Mediana;Ericsson;Nenhuma;Maior cobertura;1,197;2;34,8;55
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;6,783;5;64,2;101
Pós-pago;Masculino;Sofrível;Motorola;Cumbuca;Qualidade do sinal;5,286;4;51,4;85
Pré-pago;Feminino;Terrível;Ericsson;Escuridão;Maior cobertura;6,108;9;100,6;86
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,684;6;71,2;74
Pós-pago;Feminino;Confiável;Gradiente;Cu ;Ma ;1,509;3;35,4;66
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Qualidade do sinal;11,016;3;36,6;83
Pós-pago;Masculino;Sofrível;Siemens;Ferrocom;Qualidade do sinal;6,723;5;60,4;69
Pré-pago;Feminino;Mediana;Ericsson;Escuridão;Maior cobertura;2,601;7;78,4;48
Pós-pago;Masculino;Sofrível;Motorola;Mortinho;Tarifa menor;5,535;5;62;96
Pré-pago;Feminino;Sofrível;Gradiente;Nenhuma;Maior cobertura;3,696;8;86,8;72
Pré-pago;Feminino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;7,506;7;80;80
Pré-pago;Feminino;Excelente;Motorola;Cumbuca;Maior cobertura;5,142;5;59;70
Pré-pago;Feminino;Confiável;Samsung;Ferrocom;Maior cobertura;1,477;5;58,8;55
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1,249;7;75;42
Pré-pago;Feminino;Mediana;Samsung;Escuridão;Maior cobertura;3,849;6;70,2;54
Pós-pago;Masculino;Confiável;Motorola;Nenhuma;Maior cobertura;3,51;5;56,2;70
Pré-pago;Masculino;Confiável;Samsung;Cumbuca;Maior cobertura;1,591;0;30,52;54
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;4,209;6;68,8;71
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;6,666;4;50,2;72
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;12,279;7;81;71
Pré-pago;Masculino;Sofrível;Motorola;Cumbuca;Maior cobertura;4,209;3;43,6;88
Pré-pago;Feminino;Confiável;Gradiente;Ferrocom;Maior cobertura;1,636;6;68,8;52
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;9,111;3;36,8;107
Pré-pago;Feminino;Confiável;Samsung;Cumbuca;Maior cobertura;1,647;5;55;75
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;5,19;5;63,2;80
Pré-pago;Feminino;Sofrível;Samsung;Nenhuma;Maior cobertura;2,022;5;64,8;73
Pré-pago;Masculino;Mediana;Samsung;Nenhuma;Qualidade do sinal;14,496;4;52,8;80
Pré-pago;Masculino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,905;3;39,4;52
Pós-pago;Feminino;Mediana;Siemens;Nenhuma;Qualidade do sinal;2,574;2;30,52;70
Pós-pago;Feminino;Terrível;Siemens;Nenhuma;Tarifa menor;8,619;9;99,6;91
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Qualidade do sinal;6,609;5;64;86
Pós-pago;Feminino;Terrível;Siemens;Ferrocom;Tarifa menor;6,9;7;79,8;97
Pré-pago;Masculino;Excelente;Samsung;Ferrocom;Maior cobertura;7,017;8;86,8;76
Pós-pago;Feminino;Terrível;Siemens;Nenhuma;Qualidade do sinal;3,927;2;33,4;97
Pré-pago;Masculino;Mediana;Samsung;Escuridão;Maior cobertura;2,46;2;30,52;44
Pré-pago;Feminino;Mediana;Siemens;Cumbuca;Maior cobertura;1,666;2;30,52;59
Pós-pago;Masculino;Sofrível;Gradiente;Mortinho;Tarifa menor;12,453;8;92,4;99
Pré-pago;Masculino;Excelente;Motorola;Cumbuca;Maior cobertura;1,582;2;31,8;57
Pré-pago;Feminino;Confiável;Samsung;Nenhuma;Maior cobertura;2,094;2;30,52;72
Pré-pago;Masculino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,21;7;75,4;39
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,245;3;38;59
Pós-pago;Feminino;Terrível;Siemens;Nenhuma;Tarifa menor;11,016;8;88,6;97
Pré-pago;Masculino;Terrível;Motorola;Ferrocom;Qualidade do sinal;9,471;6;66;91
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Maior cobertura;10,536;2;34,2;83
Pré-pago;Masculino;Sofrível;Siemens;Nenhuma;Qualidade do sinal;8,349;1;30,52;86
Pré-pago;Feminino;Excelente;Ericsson;Ferrocom;Maior cobertura;1,362;5;63,4;69
Pós-pago;Feminino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;6,108;8;91,4;93
Pós-pago;Feminino;Terrível;Motorola;Nenhuma;Qualidade do sinal;8,349;5;58;83
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;1,626;4;48,8;45
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;8,214;6;69,4;89
Pré-pago;Feminino;Mediana;Motorola;Ne ;Ma ;5,142;5;61,4;73
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;4,635;8;92;90
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;13,824;6;67,8;98
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;2,325;5;55,8;72
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Tarifa menor;10,302;4;54,6;95
Pré-pago;Feminino;Mediana;Gradiente;Nenhuma;Maior cobertura;4,374;2;33,6;70
Pós-pago;Feminino;Mediana;Samsung;Mortinho;Qualidade do sinal;6,609;2;32,4;80
Pós-pago;Feminino;Terrível;Samsung;Nenhuma;Qualidade do sinal;5,094;6;66;89
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,276;5;55,4;53
Pré-pago;Masculino;Mediana;Ericsson;Nenhuma;Qualidade do sinal;4,125;5;60;58
Pós-pago;Feminino;Terrível;Motorola;Nenhuma;Qualidade do sinal;3,369;7;84,6;85
Pré-pago;Masculino;Sofrível;Motorola;Ferrocom;Maior cobertura;1,99;1;30,52;75
Pré-pago;Masculino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;3,402;6;70,6;80
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;4,332;2;30,52;82
Pré-pago;Feminino;Mediana;Ericsson;Nenhuma;Maior cobertura;3,849;5;59;71
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,609;4;46;62
Pós-pago;Feminino;Excelente;Motorola;Nenhuma;Maior cobertura;2,841;9;98;74
Pré-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;1,837;3;41,6;54
Pré-pago;Feminino;Terrível;Samsung;Ferrocom;Qualidade do sinal;3,231;6;66,2;80
Pré-pago;Feminino;Confi ;Siemens;Cumbuca;Maior cobertura;1,189;3;38,6;45
Pré-pago;Masculino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;5,844;5;59;83
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,213;3;43;33
Pré-pago;Masculino;Sofrível;Motorola;Ferrocom;Qualidade do sinal;4,248;5;64,4;74
Pré-pago;Masculino;Mediana;Gradiente;Nenhuma;Tarifa menor;13,635;4;49,2;89
Pós-pago;Masculino;Sofrível;Ericsson;Nenhuma;Qualidade do sinal;15,39;1;30,52;82
Pós-pago;Feminino;Sofrível;Samsung;Nenhuma;Tarifa menor;7,95;8;88,8;84
Pré-pago;Masculino;Confiável;Samsung;Cumbuca;Maior cobertura;5,844;3;36,4;53
Pré-pago;Masculino;Excelente;Motorola;Cumbuca;Maior cobertura;2,298;6;69,6;76
Pós-pago;Masculino;Terrível;Samsung;Mortinho;Tarifa menor;10,536;5;63,6;95
Pré-pago;Feminino;Confiável;Gradiente;Escuridão;Maior cobertura;4,815;6;66,2;62
Pré-pago;Masculino;Mediana;Motorola;Nenhuma;Maior cobertura;4,953;7;78;66
Pós-pago;Masculino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;11,343;3;35,4;90
Pré-pago;Feminino;Excelente;Gradiente;Cumbuca;Maior cobertura;1,324;2;30,52;53
Pré-pago;Masculino;Sofrível;Gradiente;Cumbuca;Maior cobertura;1,752;3;38;118
Pré-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;21,138;7;84,2;81
Pré-pago;Masculino;Sofrível;Motorola;Ferrocom;Qualidade do sinal;2,967;6;67,6;70
Pré-pago;Feminino;Sofrível;Gradiente;Nenhuma;Qualidade do sinal;1,23;4;48,4;84
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Tarifa menor;6,609;4;52,4;78
Pós-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;4,815;8;94,8;89
Pós-pago;Masculino;Terrível;Motorola;Cumbuca;Qualidade do sinal;8,082;5;63,4;91
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;24,939;6;71;99
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;10,695;8;86,2;86
Pós-pago;Feminino;Terrível;Siemens;Mortinho;Qualidade do sinal;5,688;6;70,6;87
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;2,967;4;52,4;70
Pós-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;3,546;7;76,2;68
Pré-pago;Masculino;Confiável;Motorola;Escuridão;Maior cobertura;1,794;4;51,2;48
Pré-pago;Feminino;Mediana;Siemens;Escuridão;Maior cobertura;3,438;5;55,6;71
Pré-pago;Masculino;Sofrível;Ericsson;Cumbuca;Maior cobertura;1,047;3;44,4;69
Pré-pago;Masculino;Mediana;Gradiente;Nenhuma;Qualidade do sinal;8,688;4;53,4;72
Pós-pago;Masculino;Excelente;Motorola;Ferrocom;Tarifa menor;25,917;7;75,8;88
Pós-pago;Feminino;Sofrível;Siemens;Nenhuma;Qualidade do sinal;3,438;8;87,8;82
Pós-pago;Feminino;Sofrível;Gradiente;Cumbuca;Qualidade do sinal;6,327;9;102,8;82
Pré-pago;Masculino;Confiável;Gradiente;Nenhuma;Maior cobertura;2,046;3;43,6;49
Pós-pago;Masculino;Terrível;Gradiente;Nenhuma;Tarifa menor;21,012;3;38,8;98
Pré-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;3,546;4;53,8;86
Pós-pago;Masculino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;1,329;3;41,6;76
Pós-pago;Feminino;Mediana;Gradiente;Nenhuma;Qualidade do sinal;8,826;9;95,6;95
Pré-pago;Feminino;Sofrível;Samsung;Escuridão;Maior cobertura;4,503;5;61,2;77
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;2,748;1;30,52;63
Pré-pago;Feminino;Mediana;Motorola;Mortinho;Maior cobertura;2,904;6;66,6;82
Pré-pago;Masculino;Sofrível;Ericsson;Nenhuma;Maior cobertura;5,739;4;48,4;84
Pré-pago;Feminino;Confiável;Erics ;Escuridão;Maior cobertura;1,804;6;66,6;56
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,929;5;56,4;66
Pós-pago;Feminino;Terrível;Gradiente;Nenhuma;Tarifa menor;16,635;6;66;86
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;2,433;5;59,8;67
Pré-pago;Feminino;Terrível;Motorola;Ferrocom;Qualidade do sinal;4,725;3;42,2;83
Pós-pago;Masculino;Mediana;Gradiente;Ferrocom;Maior cobertura;6,957;3;40,4;73
Pós-pago;Feminino;Mediana;Samsung;Nenhuma;Maior cobertura;2,169;6;69,8;66
Pré-pago;Feminino;Terrível;Samsung;Escuridão;Qualidade do sinal;8,619;6;67;97
Pré-pago;Masculino;Sofrível;Motorola;Nenhuma;Tarifa menor;8,757;3;40,6;91
Pré-pago;Masculino;Mediana;Samsung;Nenhuma;Qualidade do sinal;11,511;5;56,8;72
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;3,096;4;53,6;64
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;4,248;2;32,4;96
Pós-pago;Feminino;Sofrível;Samsung;Ferrocom;Qualidade do sinal;5,286;5;59,6;94
Pré-pago;Masculino;Excelente;Ericsson;Cumbuca;Maior cobertura;1,26;5;64,4;48
Pré-pago;Masculino;Excelente;Siemens;Cumbuca;Maior cobertura;2,379;6;66,6;89
Pós-pago;Masculino;Mediana;Motorola;Escuridão;Maior cobertura;3,849;3;36,2;60
Pré-pago;Feminino;Excelente;Motorola;Ferrocom;Maior cobertura;1,587;4;54,6;57
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;4,167;6;70,2;80
Pré-pago;Feminino;Mediana;Samsung;Nenhuma;Qualidade do sinal;3,966;7;81;80
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;2,574;5;58,2;57
Pré-pago;Ma ;Terrível;Samsung;Nenhuma;Tarifa menor;26,631;8;87,2;102
Pós-pago;Feminino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;3,546;4;46,6;80
Pré-pago;Masculino;Confiável;Gradiente;Nenhuma;Maior cobertura;2,487;3;39,6;78
Pré-pago;Masculino;Terrível;Gradiente;Nenhuma;Qualidade do sinal;9,039;8;88,6;102
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;9,18;6;69,2;98
Pré-pago;Feminino;Confiável;Gradiente;Nenhuma;Maior cobertura;1,555;2;30,6;60
Pré-pago;Masculino;Mediana;Ericsson;Ferrocom;Maior cobertura;1,608;5;56,2;65
Pós-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;3,849;4;52,6;80
Pré-pago;Ma ;Confiável;Gradiente;Nenhuma;Maior cobertura;1,888;2;30,52;112
Pré-pago;Masculino;Confiável;Samsung;Nenhuma;Maior cobertura;2,934;4;50,2;64
Pré-pago;Feminino;Mediana;Ericsson;Cumbuca;Maior cobertura;1,393;5;57,4;58
Pós-pago;Feminino;Excelente;Samsung;Cumbuca;Maior cobertura;4,635;8;88,4;67
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;3,333;7;83,6;54
Pós-pago;Masculino;Sofrível;Motorola;Cumbuca;Tarifa menor;14,301;5;63;440
Pós-pago;Feminino;Sofrível;Siemens;Escuridão;Maior cobertura;2,325;7;80,6;74
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;6,723;4;46,6;66
Pós-pago;Feminino;Terrível;Ericsson;Mortinho;Maior cobertura;3,231;3;43,6;84
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;1,587;4;49,8;59
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;3,885;3;43,2;80
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,759;4;54,2;68
Pós-pago;Masculino;Mediana;Samsung;Mortinho;Qualidade do sinal;4,332;6;68,8;72
Pós-pago;Masculino;Excelente;Gradiente;Ferrocom;Maior cobertura;4,77;5;60,2;75
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;8,55;4;54,4;94
Pré-pago;Masculino;Mediana;Motorola;Mortinho;Maior cobertura;12,453;4;49,4;61
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;13,635;5;64,8;94
Pós-pago;Feminino;Terrível;Siemens;Nenhuma;Qualidade do sinal;2,544;9;95;90
